targets, factors
AA, PLA2
AC, PKC | CAM | Gs | ( Gq & !Gi )  # This was too strict, not enough cAMP
ACTB, ( HSP27 | RHOA ) & !CALD1
ACTG1, Cofilin & !CALD1
ADD, RAC1
ADRA1, EPI | NE
ADRA2, EPI | NE
ADRB, EPI | NE
AF6, RAP1
AKAP, PKA
AKT1, PI3K
a_ketoglutarate, a_ketoglutarate
ANG1, ANG1
ANG2, KLF2 & ETS & FOXO1 & HIF1 & AP1
AP1, ERK1 | ROR2
ARRB1, Gi
ASFSF2, PKC
AXINcomplex, Axin2 & !(DVL1 & LRP5)
AXL, SRC | Lactate
ArhGAP29, RADIL
Axin2, LEF1
Bcatenin, (AF6 | ADD | KRIT1) & !AXINcomplex & !BTRC
BH4, BH4
BKca, PKGIB
BTRC, BTRC
CALD1, !ERK1 & !CAM
CAM, Ca2
cAMP, AC | sAC
CDC42, DAAM1 | FYN
CDH5, !SRC & !ACTB & (CREB1 | RRAS | FZD7 | FAK | ADD | AF6 | KRIT1 | RAC1) # Basal Ca2+ enough for VE-cadherin function
CEBPB, pSTAT3
cGMP, sGC
Claudin1_3, Bcatenin & ZO1
Claudin5, Bcatenin & ZO1 & !FOXO1
COX1, AA | !NO # The NO threshold is high this needs thought
CPI17, PKC
CREB1, cAMP & !PDE4D & !O2
CREB3, cAMP
Ca2, !SERCA & IP3R & PIEZO1 & TRPV4 & Cav # This prevents ectopic activation.
Calcineurin, CAM | Ca2
Cav, K_hyperpolarisation
Cofilin, RAC1
DAAM1, DVL1
DAG, PLC
DDC, LDOPA & CREB1
DKK1, DKK1
DO, DDC
DVL1, FZD7 | ROR2 | (FZD5 & LRP5)
DBH, DO & CREB1
eNOS, O2 & BH4 & LArg & ( CAM | CREB1 | SRC | AKT1 | PKA | PKC ) & !pSTAT3
EPAC1, cAMP
ERK1, MEK | (ACTG1 & !ACTB)
ETS, ERK1
EPI, DBH | EPI # Can be a microenvironmental signal
FAK, Integrin & !TIE2
FOXO1, !ADD & !AKT1
FYN, NCK | ShearStress # Laminar constant flow activates FYN
FZD5, WNT5a
